"CREATIONDATE","OBJECTDESC","TITLE","CLOSEDDATETIME","CASECLOSUREREASONDESCRIPTION"
"2026-01-04 00:00:00","2744 N 55TH ST, MILWAUKEE, WI, 53210-1557","Special Pickup - Accident Debris","",""
"2026-01-04 00:00:00","3452 N HACKETT AV, MILWAUKEE, WI, 53211-2945","Christmas Tree Pickup","",""
"2026-01-04 00:00:00","5874 S MARILYN ST, MILWAUKEE, WI, 53221-4144","Sidewalks Not Shoveled (adjacent to Private Property)","","Homeowner never shovels the city sidewalk"
"2026-01-04 00:00:00","8313 W GRANTOSA DR, MILWAUKEE, WI, 53218-3628","Christmas Tree Pickup","",""
"2026-01-04 00:00:00","9615 W TUPELO CT, MILWAUKEE, WI, 53224-3924","Christmas Tree Pickup","",""
"2026-01-04 00:00:00","1715 S 18TH ST, MILWAUKEE, WI, 53204-3113","Street Light Cycling","2026-01-04 00:00:00","lights are not on at night, to dark"
"2026-01-04 00:00:00","417 E EUCLID AV, MILWAUKEE, WI, 53207-2733","Recycling Cart: New Customer","","I just moved in and we do not have a recycling can at our address"
"2026-01-04 00:00:00","2757 S 44TH ST, MILWAUKEE, WI, 53219-3203","Christmas Tree Pickup","2026-01-05 00:00:00",""
"2026-01-04 00:00:00","3484 N MURRAY AV, MILWAUKEE, WI, 53211-2817","Christmas Tree Pickup","","Christmas tree is ready for pick up at the curb"
"2026-01-04 00:00:00","1501 N MARSHALL ST, MILWAUKEE, WI, 53202-2029","Christmas Tree Pickup","","Tree is on the north side of Lyon Street, corner of Marshall"
"2026-01-04 00:00:00","3029 W PARNELL AV, MILWAUKEE, WI, 53221-4149","Backwater","","Property manager calling in."
"2026-01-04 00:00:00","5714 S MARILYN ST, MILWAUKEE, WI, 53221-4142","Backwater","2026-01-05 00:00:00","Property manager calling in.  These townhouses are attached to each other.  5712, 5710 including 3029 W Parnell.   Please call upon arrival."
"2026-01-04 00:00:00","3029 W Parnell Ave, Milwaukee, WI 53221, USA","Backwater","2026-01-05 00:00:00","backwater"
"2026-01-04 00:00:00","Maryland, USA","Backwater","2026-01-05 00:00:00","backwater"
"2026-01-04 00:00:00","2108 N CAMBRIDGE AV, MILWAUKEE, WI, 53202-0000","Scattered Litter and Debris on Private Property","","Scattered litter in rear of building. Overflowing dumpsters. Debris blowing into alley and neighbors yard. Rats have been seen."
"2026-01-04 00:00:00","221 N 50TH ST, MILWAUKEE, WI, 53208-3631","Recycling Cart: Additional","","Hoping for extra cart - we use a lot of boxes and have trouble recycling based on a two week schedule."
"2026-01-04 00:00:00","2108 N CAMBRIDGE AV, MILWAUKEE, WI, 53202-0000","Rats or Rat Harborage","","Rat and other rodent concerns.  Garbage cans overflowing and open."
"2026-01-04 00:00:00","2107 N LAKE DR, MILWAUKEE, WI, 53202-1334","Christmas Tree Pickup","",""
"2026-01-04 00:00:00","7713 N 51ST BL, MILWAUKEE, WI, 53223-4354","Christmas Tree Pickup","","Christmas tree"
"2026-01-04 00:00:00","2202 E NEWBERRY BL, MILWAUKEE, WI, 53211-3745","Missed Collection: Recycling","2026-01-05 00:00:00",""
"2026-01-04 00:00:00","2202 E NEWBERRY BL, MILWAUKEE, WI, 53211-3745","Christmas Tree Pickup","",""
"2026-01-04 00:00:00","8001 W LYNMAR TR, MILWAUKEE, WI, 53222-1932","Missed Collection: Garbage","","MISSED COLLECTION"
"2026-01-04 00:00:00","7320 W DULUTH AV, MILWAUKEE, WI, 53220-1734","Christmas Tree Pickup","",""
"2026-01-04 00:00:00","3025 E HAMPSHIRE ST, MILWAUKEE, WI, 53211-3115","Christmas Tree Pickup","","Tree on curb. Thank you!"
"2026-01-04 00:00:00","4829 S 21ST ST, MILWAUKEE, WI, 53221-2915","Sidewalks Not Shoveled (adjacent to Private Property)","","Sidewalk not clear after many days with no snow. It’s a hazard to walk across."
"2026-01-04 00:00:00","7672 N DELTA PL, MILWAUKEE, WI, 53223-4317","Christmas Tree Pickup","",""
"2026-01-04 00:00:00","2659 N WEIL ST, MILWAUKEE, WI, 53212-3060","Furniture Discarded on Private Property","","There is so much furniture and trash being discarded in this alley from the residents at this address that it is making it hard to drive through and homeless people and drug addicts are raiding the trash."
"2026-01-04 00:00:00","1736 N Humboldt Ave, Milwaukee, WI 53202, USA","No Heat","2026-01-05 00:00:00","back house"
"2026-01-04 00:00:00","2215 E WOODSTOCK PL, MILWAUKEE, WI, 53202-1344","Christmas Tree Pickup","","christmas tree pickup"
"2026-01-04 00:00:00","3459 S 38TH ST, MILWAUKEE, WI, 53215-4012","Christmas Tree Pickup","2026-01-05 00:00:00","Christmas tree in back alley."
"2026-01-04 00:00:00","126 S 77th St, Milwaukee, WI 53214, USA","Missed Collection: Recycling","","missed collection"
